x,y
0,0.3337143563520437
1,0.6075400316098545
2,0.8579215719207828
3,0.12366047271245884
4,0.7306061116588457
5,0.4962602285938007
6,0.5951828117646338
7,0.5478746870304836
8,0.8316016235118552
9,0.018608282810038013
10,0.7101139769945481
11,0.8382248882752665
12,0.2643682334208547
13,0.5157872319839616
14,0.9354214217582797
15,0.5035869735537601
16,0.6201325161640798
17,0.7361533757088143
18,0.8991934942530669
19,0.49395765509165546
20,0.04309231290913573
21,0.46692460722820706
22,0.9066537499227519
23,0.4228397902454555
24,0.4280420098720287
25,0.4070849526178214
26,0.5482004055453382
27,0.8403800765526916
28,0.9406675440478706
29,0.9827486517192161
30,0.896121427951304
31,0.0414128186344066
32,0.09324341667845082
33,0.9299462338832982
34,0.5692286526687115
35,0.6629273087340916
36,0.17265838444327153
37,0.6502159208068672
38,0.7991291511836579
39,0.8368067790026272
40,0.875472735618315
41,0.18910352409445397
42,0.0342474415069155
43,0.9313651316131548
44,0.013516581350433654
45,0.0668403193937187
46,0.9603287427899848
47,0.21371308056414517
48,0.17483169239945917
49,0.08797596383807305
50,0.2956251416031487
51,0.7987161611522791
52,0.24869171964592762
53,0.2269003885781503
54,0.21927220277622417
55,0.1578257083432617
56,0.1414073107688466
57,0.9175263330047166
58,0.6618790845462327
59,0.39064829837406245
60,0.20740998649147824
61,0.5046109511332365
62,0.531666792197395
63,0.6278526930841638
64,0.3336599589818424
65,0.8075493672527645
66,0.8619689492402487
67,0.08455272264185099
68,0.29831337448165407
69,0.8576741465865589
70,0.561651794630967
71,0.5969791647394336
72,0.6087803894552455
73,0.029259375077440142
74,0.5338548073917352
75,0.8606441716665366
76,0.997589948644854
77,0.9112223069528119
78,0.6484771130609419
79,0.760754475514252
80,0.2734847495111504
81,0.31613222127069607
82,0.9987355858037468
83,0.8360238618441082
84,0.7887661785612786
85,0.15277086549238772
86,0.6355213140950442
87,0.13333607660162994
88,0.9450754976416329
89,0.2202404354635371
90,0.34233779625636207
91,0.07188182750397543
92,0.7175588854632712
93,0.8535481722631889
94,0.33113548926677716
95,0.9617471478018881
96,0.5255519792588358
97,0.25291950169873434
98,0.5358367065216003
99,0.08576456206188932
100,0.4026262618360802
101,0.07345479236137908
102,0.11539175083339859
103,0.12046724055854341
104,0.8992391850933917
105,0.513609484899941
106,0.30806941967970547
107,0.9685780074160982
108,0.9182417483736078
109,0.9195071389118746
110,0.7102002710269661
111,0.6037810442488594
112,0.1779022649077081
113,0.9953337158078351
114,0.8615568993369758
115,0.7643062987962205
116,0.9553080838479673
117,0.43441106628056214
118,0.24332549719575625
119,0.9978898566024399
120,0.6128853858633606
121,0.5160742601274761
122,0.6067678409556527
123,0.8382284032949844
124,0.012167086583764197
125,0.9178764790750029
126,0.23388378750255445
127,0.7946793332580954
128,0.5236467233710814
129,0.07816219657537504
130,0.10659436647672993
131,0.06732114629982655
132,0.39190126939650916
133,0.2809741378719641
134,0.20189668961232954
135,0.8004170772000009
136,0.789886422423281
137,0.041322384741843354
138,0.6648220353406232
139,0.6875476537791969
140,0.7557625016833934
141,0.8755778984078298
142,0.19848344691287567
143,0.5099570749779111
144,0.9981197777189011
145,0.5362099350016851
146,0.31429034385137733
147,0.17033129032510386
148,0.7440395332826364
149,0.6759483719907675
